OBJECTID,LONGITUDE,LATITUDE,ADDRESS,NAME,MORNING,NOON,NIGHT,TIPS,TYPE,PHOTO
4,4.881409672,52.3579139,"Museumplein 6, 1071 DJ Amsterdam,Nederland",Van Gogh Museum,1,1,1,"A museum dedicated to the works of Vincent van Gogh, with the largest collection of Van Gogh's paintings and drawings in the world.",indoor,https://blogs-images.forbes.com/ceciliarodriguez/files/2019/03/5571.jpg
5,4.851277126,52.39404145,"Elementenstraat 25, 1014 AR Amsterdam, Nederland",AMAZE Amsterdam,1,1,1,"An interactive art exhibit that features illusions, games, and puzzles that challenge visitors to think outside the box.",indoor,https://www.wander-lust.nl/wp-content/uploads/2021/09/AMAZE-Amsterdam-scaled-e1631015899827.jpg
7,4.904390172,52.39129785,"Asterweg 22, 1031 HP Amsterdam, Nederland",Nxt Museum,1,1,1,"A contemporary art museum that focuses on the intersection of art, technology, and design.",indoor,https://nxtmuseum.com/content/uploads/2021/02/Venue_Hire_Image_1-scaled.jpg
9,4.893495457,52.37246618,"Dam 21, 1012 JS Amsterdam, Nederland",Ripley's Believe It or Not!,1,1,1,"An interactive museum that features a collection of oddities, curiosities, and other unique items from around the world.",indoor,https://www.ripleys.com/wp-content/uploads/2014/04/GAT-BION-Facade.jpg
11,4.883746785,52.37491274,"Westermarkt 20, 1016 GV Amsterdam, Nederland",Anne Frank House Museum,1,1,1,"A museum dedicated to the Jewish girl Anne Frank, who hid from the Nazis during World War II in a secret annex of this building.",indoor,https://annefrank.freetls.fastly.net/media/filer_public_thumbnails/filer_public/55/fa/55fa0123-0597-4803-bf21-a7a45ff00ea7/draaikast_ctoala20180613_185.jpg__2160x926_q85_crop_subject_location-2828%2C1814_subsampling-2_upscale.jpg
21,4.894791038,52.37480204,"Damrak 66, 1012 LM Amsterdam, Nederland",BODY WORLDS Amsterdam,1,1,1,"An exhibition that features real human bodies and body parts, preserved through a process called plastination, to educate visitors about anatomy, health, and disease.",indoor,https://cdn.getyourguide.com/img/tour/5ed0c4e891ebe.jpeg/146.jpg
22,4.897241843,52.37215012,"Oudezijds Achterburgwal 130, 1012 DT Amsterdam, Nederland",Hemp Gallery,1,1,1,"A gallery that showcases the history and culture of hemp, with a collection of hemp-related artifacts, interactive exhibits, and educational programs.",indoor,https://hashmuseum.com/wp-content/uploads/Hemp-Gallery-2021-mariacavali19-1920x1280.jpg
30,4.9028,52.3517,"Stadhouderskade 78, 1072 AE Amsterdam, Netherlands",Heineken Experience,1,1,1,A brewery tour and interactive exhibition that explores the history and brewing process of the Heineken beer brand.,indoor,https://cdn.getyourguide.com/img/tour/b10d5d4a331d1abc.jpeg/97.jpg
35,4.8788,52.3583,"Museumplein 10, 1071 DJ Amsterdam, Netherlands",Stedelijk Museum,1,1,1,"A museum of modern and contemporary art that features works by artists like Vincent van Gogh, Jackson Pollock and Salvador Dalí",indoor,https://upload.wikimedia.org/wikipedia/commons/6/61/De_nieuwe_vleugel_van_het_Stedelijk_Museum_Amsterdam.jpg
36,4.9063,52.3657,"Waterlooplein 22, 1011 PG Amsterdam, Netherlands",The Stopera,1,1,1,"The Municipal Theatre & City Hall, a cultural center that houses two of Amsterdam's main performance venues, the Stadsschouwburg and the Muziektheater.",indoor,https://upload.wikimedia.org/wikipedia/commons/6/60/Stopera.jpg
37,4.9012,52.3789,"Oosterdok 2, 1011 VX Amsterdam, Netherlands",NEMO Science Museum ,0,1,1,A hands-on science museum that aims to make science and technology accessible and fun for visitors of all ages.,indoor,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR8JtiN4r-NzTwsZH0C72oNC7lLphOrGWgzM1oY-mzcIuRNDvGX3EYQ1kpIElMOzXGQEI&usqp=CAU
42,4.9061,52.3625,"Amstel 3, 1011 PN Amsterdam, Netherlands",The Dutch National Opera & Ballet ,1,1,1,"A national theater and opera house that features performances of traditional and contemporary works, as well as ballet and other dance performances.",indoor,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgj0Yu3rsAlhrpIFhydL8-lp2fSaA5xUEp8uavmKesxocAiM0RISlhI1wrk8KML3lMcDQ&usqp=CAU
44,4.8942,52.3701,"Oudezijds Achterburgwal 148, 1012 DW Amsterdam, Netherlands",The Amsterdam Pipe Museum,0,1,1,"A museum that explores the history and culture of smoking pipes and pipe-making, with a collection of pipes from around the world.",indoor,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyCXq9voCcSt8DyAqCnOsoffuZ-E4U-taCR9Ez5halfzgoBYbOLJu-UsE96XH8tdTjICs&usqp=CAU
45,4.8767,52.3651,"Keizersgracht 609, 1017 DS Amsterdam, Netherlands",The Foam Fotografiemuseum Amsterdam,1,0,1,"A photography museum that showcases contemporary and historical photography, as well as hosting temporary exhibitions.",indoor,https://d7hftxdivxxvm.cloudfront.net/?height=320&quality=80&resize_to=fill&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F-TrFl4qz61old9BJ0ZTMXA%2Fwide.jpg&width=767
49,4.8965,52.3655,"Westerstraat 106, 1015 MN Amsterdam, Netherlands",The Pianola Museum,1,1,1,"A museum that explores the history and technology of the pianola, a type of player piano, with a collection of pianolas, rolls and other related items.",indoor,https://www.pianola.nl/Pianola_Museum/Welcome_files/SalonPM.jpg
50,4.8669,52.3865,"Spaarndammerplantsoen 140, 1013 XT Amsterdam, Netherlands",The Museum Het Schip,1,1,1,"A museum that explores the history and architecture of the Amsterdam School, a Dutch architectural style from the early 20th century.",indoor,https://www.hetschip.nl/images/headers/Het-Schip_Marcel-Westhoff_MWFF9004C_1920.jpg
,,,,,,,,,,
,,,,,,,,,,
