OBJECTID,LONGITUDE,LATITUDE,ADDRESS,NAME,MORNING,NOON,NIGHT,TIPS,TYPE,PHOTO
2,4.886196218,52.37028328," Wolvenstraat 9, 1016 EM Amsterdam, Nederland",De 9 Straatjes,1,1,1,"A trendy shopping and dining area that consists of nine narrow streets in the heart of Amsterdam, known for its independent boutiques and specialty shops.",outdoor,https://app.thefeedfactory.nl/api/assets/5ff88bd6de7e8633a4aaccac/63d4dcbb-afbf-4356-bda1-14d02188acf6.jpg
3,4.914165372,52.3542341,"Platanenweg, 1091 KS Amsterdam, Țările de Jos",Street Art Platanenweg,1,1,1,A street art destination that features a collection of murals and graffiti created by local and international street artists.,outdoor,https://live.staticflickr.com/65535/49809680463_131e4bf316_b.jpg
6,4.888072103,52.38561728,"Prinseneiland 2, 1013 LR Amsterdam, Nederland",Quartier marecages,1,1,1,"A neighborhood in Amsterdam known for its unique architecture, old-world charm, and vibrant culture.",outdoor,https://www.district-immo.com/wp-content/uploads/2021/01/447_00-2019-07-04-1716-1.jpg
13,4.898206043,52.37437875,"Oudekerksplein 23, 1012 GX Amsterdam, Nederland",Oude Kerk,1,1,1,"The oldest building in Amsterdam, a medieval church that was built in the 13th century and now serves as a venue for concerts, exhibitions, and other cultural events.",outdoor,https://upload.wikimedia.org/wikipedia/commons/3/35/Amsterdam_oude_kerk2.jpg
14,4.915963517,52.36625998,"Plantage Kerklaan 38-40, 1018 CZ Amsterdam, Nederland",Artis,1,1,0,"A zoo that features a wide variety of animals from around the world, as well as a planetarium, aquarium, and other attractions.",outdoor,https://www.artis.nl/media/filer_public_thumbnails/filer_public/67/61/67614d4a-b415-4983-84b4-e77ffc8b45e8/artis_hoofdentree_ingang_adelaars_r_1920x1080.jpg__1920x0_q85_subject_location-1023%2C731_subsampling-2.jpg
16,4.852742283,52.37349982,"Jan van Galenstraat, Amsterdam, Nederland",Erasmuspark,1,1,1,"A park located in the center of Amsterdam, that provides a peaceful and quiet atmosphere for visitors to relax and enjoy nature.",outdoor,https://upload.wikimedia.org/wikipedia/commons/8/89/Erasmuspark7.jpg
28,4.896864408,52.36626534,"1017 CT Amsterdam, Nederland",Remrandtplein,1,1,1,"A square that is named after the famous Dutch painter Rembrandt, and is a popular spot for nightlife, dining, and entertainment.",outdoor,https://upload.wikimedia.org/wikipedia/commons/d/d7/NieuwRembrandtplein.JPG
29,4.905631354,52.37201063,"Oudeschans 2, 1011 KX Amsterdam, Nederland",Montelbaanstoren,1,1,1,A 16th-century tower that is located on the banks of the River Amstel and offers panoramic views of the city.,outdoor,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/47/11/73/2nd.jpg?w=1200&h=1200&s=1
31,4.8908,52.3732,"Dam, 1012 NP Amsterdam, Netherlands",Dam Square,1,1,1,"A historic city square that serves as a central gathering place and tourist destination, featuring monuments, shopping, and street performers.",outdoor,https://www.holland.com/upload_mm/a/d/2/75359_fullimage_de%20dam%20amsterdam%20shutterstock_1461146753%20alena%20bahdanovich%20via%20shutterstock.jpg
32,4.891,52.373,various locations throughout the city,Canals of Amsterdam,1,1,0,"A network of picturesque canals that crisscross the city, offering boat tours and scenic views of the city's architecture and landmarks.",outdoor,https://www.amsterdam.info/photos/content/tmb-horizontal/amsterdam-canal-cruises-types-300.jpg
33,4.8688,52.3578,"1071 AA Amsterdam, Netherlands",Vondelpark,1,1,0,"A large urban park that features walking paths, gardens, lakes, playgrounds, and various cultural events throughout the year.",outdoor,https://upload.wikimedia.org/wikipedia/commons/3/3b/Amsterdam%2C_Vondelpark%2C_at_the_pond-2.jpg
34,4.8794,52.3786,"Jordaan, 1015 Amsterdam, Netherlands",The Jordaan,1,0,0,"A historic neighborhood known for its charming streets, canals, and 17th-century architecture, as well as a vibrant arts and culture scene.",outdoor,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/a2/f9/8b/jordaan.jpg?w=1200&h=-1&s=1
38,4.894,52.3728,"Begijnhof 47, 1012 WC Amsterdam, Netherlands",The Begijnhof ,1,1,1,"A secluded courtyard that was once home to a Catholic sisterhood, now it's a peaceful oasis in the heart of the city that features a chapel and several historic houses.",outdoor,https://upload.wikimedia.org/wikipedia/commons/7/7d/BegijnhofAmsterdamPanorama.jpg
40,4.8851,52.3622,"Albert Cuypstraat, 1072 CN Amsterdam, Netherlands",The Albert Cuyp Market,1,0,0,"A bustling open-air market that offers a wide variety of food, clothing, and other goods.",outdoor,https://app.thefeedfactory.nl/api/assets/60f6e4881e97124098ad0311/albertcuypmarkt4.jpg
41,4.8934,52.3668,"Singel, 1012 DH Amsterdam, Netherlands",The Flower Market ,1,1,1,"An outdoor market that specializes in flowers, bulbs, and other horticultural products, as well as souvenirs and other items.",outdoor,https://www.eatingeurope.com/wp-content/uploads/2018/08/campodefiori-rome-food.jpg
43,4.9288,52.3586,"Plantage Middenlaan 2A, 1018 DD Amsterdam, Netherlands",The Hortus Botanicus Amsterdam,1,1,0,"A botanical garden that features a wide variety of plants, including tropical and subtropical species, as well as a library and research center.",outdoor,https://a.cdn-hotels.com/gdcs/production61/d407/4e9a5777-f370-497e-9259-ac24a941f973.jpg
,,,,,,,,,,
,,,,,,,,,,
